title,price_sale,price_base,brand,cpu_brand,cpu_detail,cpu_cores,cpu_threads,ram_size,storage_size,storage_type,screen_size,raw_specs_count,price_sale_clean,brand_score,cpu_gen,cpu_performance_score,cpu_brand_Intel,cpu_brand_AMD,cpu_brand_Apple,ram_type_DDR3,ram_type_DDR3L,ram_type_DDR4,ram_type_DDR4X,ram_type_DDR4X4266MHZ,ram_type_DDR5,ram_type_DDR5X,ram_type_DDR6,ram_type_RAM_TYPE,gpu_info,screen_res,screen_tech,battery,gpu_brand,gpu_vram,gpu_class,gpu_brand_te,gpu_class_te,screen_brightness_nits,screen_srgb_percent,screen_ntsc_percent,screen_anti_glare,battery_wh,battery_cells,screen_res_cleaned,screen_res_cleaned_1080x1920,screen_res_cleaned_1200x1920,screen_res_cleaned_1366x768,screen_res_cleaned_1440x2560,screen_res_cleaned_1600x2560,screen_res_cleaned_1920x1080,screen_res_cleaned_1920x1200,screen_res_cleaned_1920x1280,screen_res_cleaned_2048x1280,screen_res_cleaned_2160x1350,screen_res_cleaned_2160x1440,screen_res_cleaned_2160x3840,screen_res_cleaned_2240x1400,screen_res_cleaned_2256x1504,screen_res_cleaned_2560x1080,screen_res_cleaned_2560x1440,screen_res_cleaned_2560x1600,screen_res_cleaned_2880x1620,screen_res_cleaned_2880x1800,screen_res_cleaned_2880x1920,screen_res_cleaned_3000x1876,screen_res_cleaned_3000x2000,screen_res_cleaned_3072x1920,screen_res_cleaned_3200x1800,screen_res_cleaned_3200x2000,screen_res_cleaned_3456x2160,screen_res_cleaned_3840x2160,screen_res_cleaned_3840x2400,screen_res_cleaned_720x1280,screen_res_cleaned_N/A,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_NVIDIA,gpu_brand_Other,gpu_brand_Unknown,gpu_class_Discrete,gpu_class_Integrated,gpu_class_Unknown
Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BQVN,20490000.0,22990000.0,Lenovo,Intel,,,,16,512.0,SSD,14.0,25,20490000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,Intel Iris Xe Graphics,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB",45Wh,Intel,0,Integrated,14604040.848389631,14585734.54782043,300.0,100.0,45.0,1.0,45.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Avita Liber V14,18490000.0,,Avita,Other,Ryzen 5 -4500U,,,8,512.0,SSD,14.0,17,18490000.0,13.265,0,45.0,0,0,0,0,0,0,1,0,0,0,0,0,AMD Radeon Graphics Vega 6,1920 x 1080 pixels (FullHD),"LED Backlit, 220 nits, 45% NTSC,",3 Cell 42 W,AMD,0,Integrated,14248105.802047782,14585734.54782043,220.0,100.0,45.0,0.0,50.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop HP Probook 6570B,18490000.0,,HP,Intel,,2,4,4,320.0,HDD,15.6,16,18490000.0,14.255501691093574,0,40.0,1,0,0,1,0,0,0,0,0,0,0,0,Intel HD Graphics 4000,1366 x 768 pixels,,6-cells 55 Wh,Intel,0,Integrated,14720549.78524014,14568172.895677608,300.0,100.0,45.0,0.0,55.0,3.0,1366x768,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN - Cũ Đẹp,10590000.0,15490000.0,Lenovo,Intel,,8,12,16,512.0,SSD,14.0,22,10590000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,Intel UHD Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói",47Wh,Intel,0,Integrated,14720549.78524014,14568172.895677608,300.0,100.0,45.0,1.0,47.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop MSI Modern 15 B7M-238VN - Cũ Đẹp,9690000.0,16990000.0,MSI,AMD,Ryzen 7 7730U,8,16,16,512.0,SSD,15.6,22,9690000.0,18.94291379310345,7,81.9,0,1,0,0,0,1,0,0,0,0,0,0,AMD Radeon Graphics,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,39.3Whr 3 Cell,AMD,0,Integrated,13931267.12328767,14566309.685779074,300.0,100.0,45.0,0.0,3.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop MSI Cyborg 15 A13UC 861VN - Cũ Đẹp,15890000.0,,MSI,Intel,,,,16,512.0,SSD,15.6,18,15890000.0,18.94291379310345,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,NVIDIA GeForce RTX 3050 GDDR6,1920 x 1080 pixels (FullHD),45% NTSC IPS,"3 Cell, 53.5 Whr",NVIDIA,3050,Discrete,21989757.80409042,21652199.08583037,300.0,100.0,45.0,0.0,5.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo LOQ 15ARP9 83JC00HYVN - Đã Kích Hoạt,14590000.0,24490000.0,Lenovo,AMD,Ryzen 5 7235HS,4,8,24,512.0,SSD,15.6,26,14590000.0,18.146762225969645,7,122.85,0,1,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, G-SYNC",60Wh (Đầu mỏng 170W (3 chân)),NVIDIA,6,Discrete,21989757.80409042,21652199.08583037,300.0,100.0,45.0,1.0,60.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo ThinkPad E14 Gen 7 21T90022VA - Đã Kích Hoạt,20390000.0,25990000.0,Lenovo,Intel,,10,16,16,1024.0,SSD,14.0,26,20390000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,Intel Graphics,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 45% NTSC","48Wh, 65W USB-C (3-pin)",Intel,0,Integrated,14668579.29948839,14561476.466795616,300.0,100.0,45.0,1.0,48.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop ASUS Vivobook 14 X1404ZA-NK389W,14990000.0,17990000.0,ASUS,Intel,,10,,16,512.0,SSD,14.0,25,14990000.0,19.129988593155893,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel Iris Xe Graphics,1920 x 1080 pixels (FullHD),"LED Backlit, Độ sáng 250 nits, Màn hình chống chói, Độ phủ màu 45% NTSC, TÜV Rheinland-certified","42WHrs, 3S1P, 3-cell Li-ion",Intel,0,Integrated,14644380.094043886,14566309.685779074,250.0,100.0,45.0,1.0,42.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W - Cũ Trầy Xước,10790000.0,17990000.0,ASUS,Intel,,,,16,512.0,SSD,14.0,27,10790000.0,19.129988593155893,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel Iris Xe Graphics,2880 x 1800 pixels,"Tỷ lệ 16:10, Thời gian phản hồi 0.2 ms, Độ sáng tối đa 600nits HDR, Độ phủ màu 100% DCI-P3, HDR True Black 600, 1.07 tỷ màu, Giảm ánh sáng xanh, SGS Eye Care Display, Gamut mapping, Pantone","50WHrs, 3S1P, 3-cell Li-ion",Intel,0,Integrated,14665286.283891547,14587476.470588235,600.0,100.0,45.0,0.0,50.0,3.0,2880x1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Dell Inspiron 15 3520 D5N53,8990000.0,11490000.0,Dell,Intel,,2,4,8,256.0,SSD,15.6,15,8990000.0,15.367008343265791,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel UHD Graphics,1920 x 1080 pixels (FullHD),"Màn hình chống chói, Độ phủ màu 45% NTSC, Độ sáng 220 nits, AG, Flat","3-cell, 41 Wh lithium-polymer",Intel,0,Integrated,14604040.848389631,14585734.54782043,220.0,100.0,45.0,1.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Gaming Acer Nitro V ANV15-51-55CA NH.QN8SV.004 - Đã Kích Hoạt,19790000.0,27990000.0,Gaming,Intel,Core i5 Raptor,,,16,512.0,SSD,15.6,23,19790000.0,16.09766355140187,0,57.5,1,0,0,0,0,0,0,0,1,0,0,0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",1920 x 1080 pixels (FullHD),"45% NTSC, Acer ComfyView, 250 nits","4-cell, 57Wh, 135 W",NVIDIA,6,Discrete,21658765.770707622,21341011.81304571,250.0,100.0,45.0,0.0,57.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Asus TUF Gaming F15 FX507ZE-HN093W - Cũ Trầy Xước,16890000.0,,Asus,Intel,,,,16,512.0,SSD,15.6,20,16890000.0,19.129988593155893,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU,1920 x 1080 pixels (FullHD),,"56WHrs, 4S1P, 4-cell Li-ion",NVIDIA,0,Discrete,21658765.770707622,21341011.81304571,300.0,100.0,45.0,0.0,56.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop MSI Gaming GF63 10SC 812VN - Cũ Trầy Xước,11090000.0,22990000.0,MSI,Other,Core i7 10750H,,,8,512.0,SSD,15.6,20,11090000.0,18.94291379310345,10,130.0,0,0,0,0,0,1,0,0,0,0,0,0,Nvidia GTX1650 MAX Q 4GB DDR6,1920 x 1080 pixels (FullHD),,3 Cell - 51Whr,NVIDIA,4,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,0.0,51.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo IdeaPad Slim 5 14APH9 83DB003BVN,20990000.0,23190000.0,Lenovo,AMD,Ryzen 7 8845HS,,,16,512.0,SSD,14.0,25,20990000.0,18.146762225969645,8,126.9,0,1,0,0,0,0,0,0,0,1,0,0,AMD Radeon 780M Graphics,1920 x 1200 pixels (WUXGA),"Độ sáng 400nits Glossy, Độ phủ màu 100% DCI-P3, DisplayHDR True Black 500",57Wh,AMD,0,Integrated,13931267.12328767,14566309.685779074,400.0,100.0,45.0,0.0,57.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop Asus Zenbook UX325EA KG656W - Cũ Xước Cấn,7790000.0,24790000.0,Asus,Intel,,,,8,512.0,SSD,13.3,22,7790000.0,19.129988593155893,0,40.0,1,0,0,0,0,0,1,0,0,0,0,0,Intel® Iris Xe Graphics,1920 x 1080 pixels (FullHD),HDR DCI-P3: 100%,4 Cell 67WHr Lithium-Polymer,Intel,0,Integrated,14720549.78524014,14568172.895677608,300.0,100.0,45.0,0.0,67.0,4.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00MDVN - Đã Kích Hoạt,9490000.0,14290000.0,Lenovo,AMD,Ryzen 5 5625U,6,12,16,512.0,SSD,15.6,26,9490000.0,18.146762225969645,5,58.5,0,1,0,0,0,1,0,0,0,0,0,0,AMD Radeon Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói",47Wh (Đầu tròn 65W (3 chân)),AMD,0,Integrated,13841765.734265734,14568172.895677608,300.0,100.0,45.0,1.0,47.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop Lenovo Gaming Legion 5 Pro 16IRX9 83DF0046VN,51990000.0,56990000.0,Lenovo,Intel,,,,32,1024.0,SSD,16.0,28,51990000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 4070 8GB GDDR6, Boost Clock 2175MHz, TGP 140W",2560 x 1600 (WQXGA),"Độ sáng 500 nits, Độ phủ màu 100.00% DCI-P3, DisplayHDR 400, Dolby Vision, G-Sync, Giảm ánh sáng xanh, Màn hình chống chói",80Wh,NVIDIA,8,Discrete,21989757.80409042,21652199.08583037,500.0,100.0,45.0,1.0,80.0,3.0,2560x1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop ASUS Gaming Vivobook 16X K3605VC-RP431W - Cũ Đẹp,18490000.0,,ASUS,Intel,,8,12,16,512.0,SSD,16.0,28,18490000.0,19.129988593155893,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA Geforce RTX 3050 4GB GDDR6
Intel UHD Graphics",1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Độ phủ màu 45% NTSC, Màn hình chống chói, TÜV Rheinland-certified","50WHrs, 3S1P, 3-cell Li-ion",NVIDIA,4,Discrete,21989757.80409042,21652199.08583037,300.0,100.0,45.0,1.0,50.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Asus Expertbook B1402CBA-NK2669W - Cũ Đẹp,9490000.0,19990000.0,Asus,Intel,,12,,16,512.0,SSD,14.0,25,9490000.0,19.129988593155893,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel UHD Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits, Độ phủ màu NTSC: 45%, Màn hình chống chói, Tỷ lệ tương phản 500:1","42WHrs, 3S1P, 3-cell Li-ion",Intel,0,Integrated,14604040.848389631,14585734.54782043,250.0,100.0,45.0,1.0,42.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Acer Nitro 5 AN515-57-553E NH.QENSV.006 - Cũ Xước Cấn,18490000.0,,Acer,Intel,Core i5 Tiger,,,8,512.0,SSD,15.6,22,18490000.0,14.483635983263598,0,50.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA GeForce RTX 3050, 4 GB",1920 x 1080 pixels (FullHD),"Tần số quét 144 Hz, TFT, LED Backlit, Công nghệ IPS, Acer ComfyView","4-cell Li-ion, 57.5 Wh",NVIDIA,4,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,0.0,5.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Dell Latitude 3420 P144G001 - Cũ Trầy Xước,8690000.0,,Dell,Intel,,,,8,256.0,SSD,14.0,21,8690000.0,15.367008343265791,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel UHD Graphics,1920 x 1080 pixels (FullHD),220 nits,"3-cell, 41 Wh",Intel,0,Integrated,14668579.29948839,14561476.466795616,220.0,100.0,45.0,0.0,41.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo ThinkPad E16 Gen 1 21JN00GJVN,18990000.0,20990000.0,Lenovo,Intel,,,,16,512.0,SSD,16.0,26,18990000.0,18.146762225969645,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,Intel UHD Graphics,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits, Độ phủ màu 45% NTSC, Màn hình chống chói",47Wh,Intel,0,Integrated,14604040.848389631,14585734.54782043,300.0,100.0,45.0,1.0,47.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Asus Zenbook 14 UX3402ZA-KM221W - Cũ Trầy Xước,13690000.0,29300000.0,Asus,Intel,,,,16,512.0,SSD,14.0,23,13690000.0,19.129988593155893,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,Intel® Iris Xe Graphics,2880 x 1800 pixels,"Màn hình OLED 2.8K, tỷ lệ 16:10, Thời gian phản hồi 0.2 ms, Tốc độ làm mới 90Hz, Độ sáng tối đa 600nits, 100% DCI-P3, Tỷ lệ tương phản 1.000.000:1, HDR True Black 600, 1.07 tỷ màu, Glossy display, Hạn chế ánh sáng xanh, Chăm sóc mắt SGS","75WHrs, 2S2P, 4-cell Li-ion",Intel,0,Integrated,14720549.78524014,14568172.895677608,600.0,100.0,45.0,0.0,75.0,3.0,2880x1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ - Đã Kích Hoạt,19090000.0,23990000.0,Acer,Intel,,10,16,16,512.0,SSD,16.0,24,19090000.0,14.483635983263598,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 3050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA",1920 x 1200 pixels (FullHD+),"Độ phủ màu NTSC 45%, Màn hình LCD TFT đèn nền LED ComfyView của Acer, Góc nhìn rộng lên đến 170 độ, Độ sáng 300nits","53Wh 3-cell Li-ion battery, 100W Type C adapter",NVIDIA,6,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,0.0,53.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Dell Vostro 3520 Y4G15,16650000.0,18990000.0,Dell,Intel,,10,12,8,512.0,SSD,15.6,21,16650000.0,15.367008343265791,0,40.0,1,0,0,0,0,1,0,0,0,0,0,0,"NVIDIA GeForce MX550, 2 GB, GDDR6",1920 x 1080 pixels (FullHD),"Màn hình chống chói, Độ phủ màu 45% NTSC, Độ sáng 250 nits, AG, Flat","4-cell, 54 Wh lithium-polymer",NVIDIA,2,Discrete,21962005.347593583,21636442.211055275,250.0,100.0,45.0,1.0,54.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo Legion 5 15IRX9 83JJ000FVN,34990000.0,37990000.0,Lenovo,Intel,,,,24,512.0,SSD,15.6,27,34990000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W, 233 AI TOPS",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, G-SYNC",60Wh,NVIDIA,8,Discrete,21658765.770707622,21341011.81304571,300.0,100.0,45.0,1.0,60.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop gaming MSI Thin A15 B7UCX 020VN - Cũ Trầy Xước,10790000.0,18990000.0,gaming,Other,Ryzen 5 7535HS,,,8,512.0,SSD,15.6,18,10790000.0,16.09766355140187,7,122.85,0,0,0,0,0,0,0,0,1,0,0,0,NVIDIA GeForce RTX 2050 Laptop GPU 4GB GDDR6,1920 x 1080 pixels (FullHD),,3-Cell 52.4 Battery,NVIDIA,4,Discrete,21603861.43931257,21346578.81398885,300.0,100.0,45.0,0.0,50.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00EHVN,14290000.0,16390000.0,Lenovo,AMD,Ryzen 7 7730U,8,16,16,512.0,SSD,15.6,24,14290000.0,18.146762225969645,7,81.9,0,1,0,0,0,1,0,0,0,0,0,0,AMD Radeon Graphics,1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói",47Wh,AMD,0,Integrated,13841765.734265734,14568172.895677608,300.0,100.0,45.0,1.0,47.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop ASUS ExpertBook P5 P5405CSA-NZ0016W,23990000.0,27990000.0,ASUS,Intel,,8,8,16,512.0,SSD,14.0,28,23990000.0,19.129988593155893,0,40.0,1,0,0,0,0,0,0,0,0,1,0,0,Intel Arc 130V GPU,2560 x 1600 (WQXGA),"Độ sáng 400nits, Màn hình chống chói, Độ phủ màu sRGB: 100%, Góc nhìn 178/178","63WHrs, 3S1P, 3-cell Li-ion",Intel,0,Integrated,14604040.848389631,14585734.54782043,400.0,100.0,45.0,1.0,63.0,3.0,2560x1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Lenovo LOQ 15IRX9 83DV00UFVN,31490000.0,35990000.0,Lenovo,Intel,,,,24,512.0,SSD,15.6,26,31490000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 115W, 233 AI TOPS",1920 x 1080 pixels (FullHD),"Độ sáng 300nits, Màn hình chống chói, Độ phủ màu 100% sRGB, G-SYNC",60Wh,NVIDIA,8,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,1.0,60.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo ThinkPad X1 Carbon Gen 12 21KC008PVN,55590000.0,58590000.0,Lenovo,Intel,,16,22,32,1024.0,SSD,14.0,25,55590000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,0,1,0,0,Intel Arc Graphics,2880 x 1800 pixels,"Độ sáng 400nits, Chống chói/Chống phản chiếu/Chống nhòe, Độ phủ màu 100% DCI-P3, DisplayHDR True Black 500, Dolby Vision",57Wh (USB-C mỏng 65W (3 chân)),Intel,0,Integrated,14644380.094043886,14566309.685779074,400.0,100.0,45.0,1.0,57.0,3.0,2880x1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Asus Vivobook S 14 Flip TN3402QA-LZ027W,20190000.0,21990000.0,Asus,AMD,Ryzen 7 5800H,,,16,512.0,SSD,14.0,22,20190000.0,19.129988593155893,5,110.5,0,1,0,0,0,1,0,0,0,0,0,0,AMD Radeon™ Graphics,1920 x 1200 pixels (WUXGA),"300nits, 45% NTSC",3 Cells 50WHrs,AMD,0,Integrated,14109735.09933775,14587476.470588235,300.0,100.0,45.0,0.0,50.0,3.0,1920x1200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Laptop Asus TUF Gaming F15 FX507ZE-HN093W - Đã Kích Hoạt,19490000.0,,Asus,Intel,,,,8,512.0,SSD,15.6,21,19490000.0,19.129988593155893,0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU,1920 x 1080 pixels (FullHD),,"56WHrs, 4S1P, 4-cell Li-ion",NVIDIA,0,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,0.0,56.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo Ideapad Slim 5 16IMH9 83DC001RVN,22990000.0,,Lenovo,Intel,,,18,16,512.0,SSD,16.0,25,22990000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,0,1,0,0,Intel Arc Graphics,2048 x 1280 pixels,"DisplayHDR True Black 500, Độ sáng tối đa: 400nits, Độ phủ màu 100% DCI-P3",57Wh,Intel,0,Integrated,14720549.78524014,14568172.895677608,400.0,100.0,45.0,0.0,57.0,3.0,2048x1280,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laptop Dell Alienware M15 R7,18490000.0,,Dell,Intel,Core i7 12700H,14,20,16,512.0,SSD,15.6,19,18490000.0,15.367008343265791,12,137.8,1,0,0,0,0,0,0,0,1,0,0,0,NVIDIA GeForce RTX 3060,1920 x 1080 pixels (FullHD),"Tốc độ phản hồi 3ms, Advanced Optimus, NVIDIA G-SYNC, Tấm phủ Matte",,NVIDIA,0,Discrete,21962005.347593583,21636442.211055275,300.0,100.0,45.0,0.0,50.0,3.0,1920x1080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Laptop Lenovo Yoga Pro 7 14IMH9 83E2005DVN - Cũ Trầy Xước,30090000.0,45990000.0,Lenovo,Intel,,,,32,1024.0,SSD,14.5,28,30090000.0,18.146762225969645,0,40.0,1,0,0,0,0,0,0,0,0,1,0,0,NVIDIA GeForce RTX 4050 6GB GDDR6,2880 x 1800 pixels,"Độ sáng 400nits Glossy, Độ phủ màu 100% P3, Eyesafe, Dolby Vision, DisplayHDR True Black 500","73Wh, 140W USB-C Slim (3-pin)",NVIDIA,6,Discrete,21962005.347593583,21636442.211055275,400.0,100.0,45.0,0.0,73.0,3.0,2880x1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
